Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA19108,YRI,African Ancestry,Yoruba,10.436634100459228,-4.258756484784134,25.39571,-2.968365,5.087004627449909,-0.8885782516378651,,,1.6350405884927495,-3.9935688819426844,0.6779296756921616
NA19113,YRI,African Ancestry,Yoruba,11.049995008404098,-2.9430997580622345,23.100681,-1.6034082,5.2503818435548055,-0.9250983035857319,,,1.5211955672251043,-2.653145400085854,0.12313691220422907
NA19114,YRI,African Ancestry,Yoruba,9.711791736842052,-4.352353690670905,21.518995,0.7015712,5.160613540996952,-1.4366134939809738,,,0.5301014500322885,-3.056868844415573,1.3275598101192978
NA19116,YRI,African Ancestry,Yoruba,10.68424985758282,-3.643312682018027,24.373753,-1.4711046,4.9699691852949845,-1.5029141191071522,,,1.6400378465811518,-0.4205905491702257,-3.207839289843508
NA19117,YRI,African Ancestry,Yoruba,11.217060695332146,-3.2506555819053053,24.76921,-0.4131861,5.005505695059681,-0.46853858042260255,,,2.1657258432492723,-2.584086031407847,-0.050403828364683136
NA19118,YRI,African Ancestry,Yoruba,8.647899184305261,-2.990569629828946,18.745165,2.7531226,5.362761639469696,-0.5016826284298253,,,-0.8438741129394723,-2.3095182040173734,-0.42578047418817394
NA19119,YRI,African Ancestry,Yoruba,10.7990645774105,-3.683674511181173,20.777918,0.026866717,5.4187280505448285,-0.8754260263105524,,,1.3255560632467212,-1.475981925028265,-0.4565426723412716
NA19121,YRI,African Ancestry,Yoruba,10.433120552668594,-3.7291796295019397,21.856968,0.647854,5.362927508628015,-1.2031543843685655,,,0.33902861583220156,-2.0901344468086083,-1.716049760841758
NA19129,YRI,African Ancestry,Yoruba,11.661770948482571,-3.983980705245041,26.610048,0.39268342,5.026263880116288,-0.9817027042689035,,,2.5374998580562655,-2.729105588396783,-1.4956112688807535
NA19130,YRI,African Ancestry,Yoruba,10.61362869524086,-3.9262400395885164,23.328753,-2.5819695,5.084720563854409,-0.8610044586698384,,,1.436912053707717,-2.4949378097227823,0.9651856062578699
NA19131,YRI,African Ancestry,Yoruba,10.806826026702488,-5.001402553853864,25.707264,2.1844246,5.025008916057802,-0.9097147396187486,,,3.3115689132010924,-2.2302575106916533,-1.762209738878672
NA19137,YRI,African Ancestry,Yoruba,9.669163191725076,-3.623568656131149,21.708014,1.5711019,4.257652791606851,-1.1368975346802332,,,0.9362725423338761,-3.3108965772378514,0.30826105960023215
NA19138,YRI,African Ancestry,Yoruba,10.621867636893837,-3.3654610220024574,24.995329,-6.187299,5.970858074389198,-0.6288273256308825,,,1.3988559265305291,-2.4029245189647885,-0.2050718342547916
NA19146,YRI,African Ancestry,Yoruba,11.033169143914568,-2.866811003872084,20.050049,3.5138452,5.468978331220464,-1.6613850192492676,,,2.0869405568860757,-1.9469953512965161,1.7804942888051694
NA19147,YRI,African Ancestry,Yoruba,10.886963766685813,-3.7526223420901603,24.24714,-1.1690269,4.885233693275145,-0.755501941323772,,,2.4681576511652374,-1.911628457609761,-1.7023329962812301
NA19149,YRI,African Ancestry,Yoruba,9.416792604513509,-2.3543595368655046,14.8654585,-2.726638,4.7147285555437,-0.331111254977432,,,-0.4325812169771901,0.0632376251729665,-1.0895277714400586
NA19150,YRI,African Ancestry,Yoruba,10.985038413698001,-3.684090408794428,25.101683,3.1801987,5.259561245851137,-1.9664177349157557,,,0.9173519632032745,-0.4591822651313454,-0.3465785165769818
NA19152,YRI,African Ancestry,Yoruba,10.317945372116911,-3.7244641666628597,23.320385,-2.3507879,5.520271206087234,-0.4830388047909646,,,0.9371677251001155,-4.171507861921772,0.2417106905279236
NA19160,YRI,African Ancestry,Yoruba,10.206543193973678,-4.690296273129602,23.719452,-0.71606344,5.305793217722807,-1.1893699685010168,,,1.8908242206863999,-2.068008557855595,0.48870362842094955
NA19171,YRI,African Ancestry,Yoruba,9.37114553515834,-3.671968055096401,26.752438,-3.4266536,4.075277295687915,-0.912155763878701,,,0.6188875876038102,-4.239538140090942,2.442146952985715
